 

stn;time;rre150z0
CGI;202203010000;0.0
CGI;202203010010;0.0
CGI;202203010020;0.0
CGI;202203010030;0.0
CGI;202203010040;0.0
CGI;202203010050;0.0
CGI;202203010100;0.0
CGI;202203010110;0.0
CGI;202203010120;0.0
CGI;202203010130;0.0
CGI;202203010140;0.0
CGI;202203010150;0.0
CGI;202203010200;0.0
CGI;202203010210;0.0
CGI;202203010220;0.0
CGI;202203010230;0.0
CGI;202203010240;0.0
CGI;202203010250;0.0
CGI;202203010300;0.0
CGI;202203010310;0.0
CGI;202203010320;0.0
CGI;202203010330;0.0
CGI;202203010340;0.0
CGI;202203010350;0.0
CGI;202203010400;0.0
CGI;202203010410;0.0
CGI;202203010420;0.0
CGI;202203010430;0.0
CGI;202203010440;0.0
CGI;202203010450;0.0
CGI;202203010500;0.0
CGI;202203010510;0.0
CGI;202203010520;0.0
CGI;202203010530;0.0
CGI;202203010540;0.0
CGI;202203010550;0.0
CGI;202203010600;0.0
CGI;202203010610;0.0
CGI;202203010620;0.0
CGI;202203010630;0.0
CGI;202203010640;0.0
CGI;202203010650;0.0
CGI;202203010700;0.0
CGI;202203010710;0.0
CGI;202203010720;0.0
CGI;202203010730;0.0
CGI;202203010740;0.0
CGI;202203010750;0.0
CGI;202203010800;0.0
CGI;202203010810;0.0
CGI;202203010820;0.0
CGI;202203010830;0.0
CGI;202203010840;0.0
CGI;202203010850;0.0
CGI;202203010900;0.0
CGI;202203010910;0.0
CGI;202203010920;0.0
CGI;202203010930;0.0
CGI;202203010940;0.0
CGI;202203010950;0.0
CGI;202203011000;0.0
CGI;202203011010;0.0
CGI;202203011020;0.0
CGI;202203011030;0.0
CGI;202203011040;0.0
CGI;202203011050;0.0
CGI;202203011100;0.0
CGI;202203011110;0.0
CGI;202203011120;0.0
CGI;202203011130;0.0
CGI;202203011140;0.0
CGI;202203011150;0.0
CGI;202203011200;0.0
CGI;202203011210;0.0
CGI;202203011220;0.0
CGI;202203011230;0.0
CGI;202203011240;0.0
CGI;202203011250;0.0
CGI;202203011300;0.0
CGI;202203011310;0.0
CGI;202203011320;0.0
CGI;202203011330;0.0
CGI;202203011340;0.0
CGI;202203011350;0.0
CGI;202203011400;0.0
CGI;202203011410;0.0
CGI;202203011420;0.0
CGI;202203011430;0.0
CGI;202203011440;0.0
CGI;202203011450;0.0
CGI;202203011500;0.0
CGI;202203011510;0.0
CGI;202203011520;0.0
CGI;202203011530;0.0
CGI;202203011540;0.0
CGI;202203011550;0.0
CGI;202203011600;0.0
CGI;202203011610;0.0
CGI;202203011620;0.0
CGI;202203011630;0.0
CGI;202203011640;0.0
CGI;202203011650;0.0
CGI;202203011700;0.0
CGI;202203011710;0.0
CGI;202203011720;0.0
CGI;202203011730;0.0
CGI;202203011740;0.0
CGI;202203011750;0.0
CGI;202203011800;0.0
CGI;202203011810;0.0
CGI;202203011820;0.0
CGI;202203011830;0.0
CGI;202203011840;0.0
CGI;202203011850;0.0
CGI;202203011900;0.0
CGI;202203011910;0.0
CGI;202203011920;0.0
CGI;202203011930;0.0
CGI;202203011940;0.0
CGI;202203011950;0.0
CGI;202203012000;0.0
CGI;202203012010;0.0
CGI;202203012020;0.0
CGI;202203012030;0.0
CGI;202203012040;0.0
CGI;202203012050;0.0
CGI;202203012100;0.0
CGI;202203012110;0.0
CGI;202203012120;0.0
CGI;202203012130;0.0
CGI;202203012140;0.0
CGI;202203012150;0.0
CGI;202203012200;0.0
CGI;202203012210;0.0
CGI;202203012220;0.0
CGI;202203012230;0.0
CGI;202203012240;0.0
CGI;202203012250;0.0
CGI;202203012300;0.0
CGI;202203012310;0.0
CGI;202203012320;0.0
CGI;202203012330;0.0
CGI;202203012340;0.0
CGI;202203012350;0.0
CGI;202203020000;0.0
CGI;202203020010;0.0
CGI;202203020020;0.0
CGI;202203020030;0.0
CGI;202203020040;0.0
CGI;202203020050;0.0
CGI;202203020100;0.0
CGI;202203020110;0.0
CGI;202203020120;0.0
CGI;202203020130;0.0
CGI;202203020140;0.0
CGI;202203020150;0.0
CGI;202203020200;0.0
CGI;202203020210;0.0
CGI;202203020220;0.0
